qo_lc[m3/d],qg_lc[m3/d],Date & Time
358.55,42275.31896357031,2018-04-24 01:50:00
333.2,35134.080210565255,2018-04-24 01:51:00
338.44,31960.620158817448,2018-04-24 01:52:00
341.26,36927.887745562315,2018-04-24 01:53:00
310.9,26963.921835629422,2018-04-24 01:54:00
333.25,36713.429028384846,2018-04-24 01:55:00
380.26,38996.680684428866,2018-04-24 01:56:00
332.23,32316.15880041038,2018-04-24 01:57:00
327.18,32602.579412306142,2018-04-24 01:58:00
336.8,41393.20444892303,2018-04-24 01:59:00
339.07,31904.150931974633,2018-04-24 02:00:00
385.27,41541.60914084996,2018-04-24 02:01:00
427.26,48188.91939071719,2018-04-24 02:02:00
399.31,37914.55989956473,2018-04-24 02:03:00
363.59,35250.498271846795,2018-04-24 02:04:00
342.03,31706.251075296885,2018-04-24 02:05:00
388.61,41210.72969318997,2018-04-24 02:06:00
335.53,31185.991009625668,2018-04-24 02:07:00
338.77,31303.765034236847,2018-04-24 02:08:00
332.3,34478.79824270482,2018-04-24 02:09:00
371.68,37733.40870522383,2018-04-24 02:10:00
311.16,28692.86618070791,2018-04-24 02:11:00
328.05,32110.075852228165,2018-04-24 02:12:00
314.05,34980.939744116964,2018-04-24 02:13:00
366.21,32259.989906189923,2018-04-24 02:14:00
344.25,34733.83027521651,2018-04-24 02:15:00
376.03,36518.26559492334,2018-04-24 02:16:00
337.85,29972.649464119037,2018-04-24 02:17:00
347.34,41229.916045573285,2018-04-24 02:18:00
360.59,41639.48255739279,2018-04-24 02:19:00
284.23,31426.168917517407,2018-04-24 02:20:00
323.88,33047.42491007633,2018-04-24 02:21:00
335.85,36645.3437009688,2018-04-24 02:22:00
355.54,44853.89952490708,2018-04-24 02:23:00
305.5,28694.515455064913,2018-04-24 02:24:00
418.26,46152.83351018298,2018-04-24 02:25:00
343.07,34043.25102805708,2018-04-24 02:26:00
357.08,39699.928273366604,2018-04-24 02:27:00
283.83,25321.92637933458,2018-04-24 02:28:00
315.44,36768.97217724232,2018-04-24 02:29:00
303.09,28721.65742450103,2018-04-24 02:30:00
295.97,24822.8442576098,2018-04-24 02:31:00
383.14,35450.597499580574,2018-04-24 02:32:00
362.25,37456.29603373038,2018-04-24 02:33:00
318.44,35051.28354502359,2018-04-24 02:34:00
353.52,40083.39223120604,2018-04-24 02:35:00
341.53,31062.177813628903,2018-04-24 02:36:00
334.36,35962.73292244946,2018-04-24 02:37:00
311.23,30847.179776146768,2018-04-24 02:38:00
352.57,34266.999156867896,2018-04-24 02:39:00
311.19,30475.448110810517,2018-04-24 02:40:00
295.61,29029.097829423838,2018-04-24 02:41:00
314.02,29879.789644404413,2018-04-24 02:42:00
321.21,29907.454797775048,2018-04-24 02:43:00
343.42,28486.102414826582,2018-04-24 02:44:00
321.64,37772.40965869254,2018-04-24 02:45:00
336.95,35441.78780087859,2018-04-24 02:46:00
371.81,37924.14986619783,2018-04-24 02:47:00
324.27,41576.514798831166,2018-04-24 02:48:00
328.58,32765.946622396026,2018-04-24 02:49:00
364.22,41899.24100353014,2018-04-24 02:50:00
357.09,39769.540400378464,2018-04-24 02:51:00
356.16,34040.67975395521,2018-04-24 02:52:00
359.69,30322.17422559712,2018-04-24 02:53:00
347.78,42005.33836260812,2018-04-24 02:54:00
387.38,41620.46580519849,2018-04-24 02:55:00
329.64,32470.457484902203,2018-04-24 02:56:00
302.06,32151.319607402715,2018-04-24 02:57:00
319.54,32552.084698694496,2018-04-24 02:58:00
294.82,27411.567372968453,2018-04-24 02:59:00
350.63,30859.36851598988,2018-04-24 03:00:00
329.76,33545.85687152102,2018-04-24 03:01:00
344.59,34779.121222715614,2018-04-24 03:02:00
318.15,33646.957983485285,2018-04-24 03:03:00
318.26,34183.856349780486,2018-04-24 03:04:00
266.98,23827.62309564275,2018-04-24 03:05:00
331.46,33555.624967562166,2018-04-24 03:06:00
348.31,33533.57981321102,2018-04-24 03:07:00
334.33,31907.61920102024,2018-04-24 03:08:00
308.72,34538.91195916085,2018-04-24 03:09:00
355.37,37261.42078921538,2018-04-24 03:10:00
332.61,30898.2160149561,2018-04-24 03:11:00
319.61,30885.741041554003,2018-04-24 03:12:00
264.69,22879.63795888584,2018-04-24 03:13:00
321.6,33029.938869321006,2018-04-24 03:14:00
356.05,33319.644258019056,2018-04-24 03:15:00
373.67,33621.535306952115,2018-04-24 03:16:00
356.29,33374.595425371896,2018-04-24 03:17:00
310.65,28813.27272163521,2018-04-24 03:18:00
333.9,32558.25474362037,2018-04-24 03:19:00
348.83,39328.25811283376,2018-04-24 03:20:00
366.42,37163.23025012783,2018-04-24 03:21:00
330.32,33286.3911565488,2018-04-24 03:22:00
352.83,37768.57719145725,2018-04-24 03:23:00
369.16,38865.359799999256,2018-04-24 03:24:00
376.67,44817.07487330981,2018-04-24 03:25:00
358.6,40713.973219487336,2018-04-24 03:26:00
350.42,23250.527734292013,2018-04-24 03:27:00
367.37,40635.7715800202,2018-04-24 03:28:00
307.11,27652.160098776152,2018-04-24 03:29:00
324.48,31827.641050001617,2018-04-24 03:30:00
389.78,40806.45719351879,2018-04-24 03:31:00
375.0,39164.100490348166,2018-04-24 03:32:00
316.02,34126.83590861123,2018-04-24 03:33:00
373.98,34506.80884021242,2018-04-24 03:34:00
328.23,33000.32078019507,2018-04-24 03:35:00
347.71,31881.890155239107,2018-04-24 03:36:00
272.16,26902.091992570873,2018-04-24 03:37:00
301.59,31011.570617767982,2018-04-24 03:38:00
380.86,35927.494915728086,2018-04-24 03:39:00
362.39,37500.672231278986,2018-04-24 03:40:00
322.88,37762.89199299599,2018-04-24 03:41:00
347.25,40229.73766807847,2018-04-24 03:42:00
389.99,39707.98408340317,2018-04-24 03:43:00
306.53,47746.64939254841,2018-04-24 03:44:00
338.22,31171.800599403912,2018-04-24 03:45:00
303.64,29624.26319851728,2018-04-24 03:46:00
355.46,41410.69403044899,2018-04-24 03:47:00
336.47,35242.76254993259,2018-04-24 03:48:00
385.69,40964.559486082224,2018-04-24 03:49:00
333.66,38399.14222397237,2018-04-24 03:50:00
336.74,34880.83880101796,2018-04-24 03:51:00
368.44,38496.044678131235,2018-04-24 03:52:00
330.2,38253.79909126382,2018-04-24 03:53:00
313.61,50090.802666703654,2018-04-24 03:54:00
336.53,28426.837603761225,2018-04-24 03:55:00
354.34,34440.038499007635,2018-04-24 03:56:00
312.52,34089.467825076936,2018-04-24 03:57:00
322.31,30867.520350603736,2018-04-24 03:58:00
329.98,35238.68378177364,2018-04-24 03:59:00
310.18,29951.631576989683,2018-04-24 04:00:00
332.03,38573.524210394935,2018-04-24 04:01:00
360.62,33546.873870145966,2018-04-24 04:02:00
371.06,32631.41322509949,2018-04-24 04:03:00
332.02,39512.52429191842,2018-04-24 04:04:00
364.55,41995.107113786966,2018-04-24 04:05:00
350.43,38904.487077376136,2018-04-24 04:06:00
282.17,27879.16601347812,2018-04-24 04:07:00
